Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.304111875,0,bpf-output,101313205,100,0,K/sec
0.304111875,0,context-switches,101312182,100,0,K/sec
0.304111875,100.224821,cpu-clock,101311400,100,,
0.304111875,0,cpu-migrations,101310523,100,0,K/sec
0.304111875,0,dummy,101309505,100,0,K/sec
0.304111875,0,emulation-faults,101308473,100,0,K/sec
0.304111875,0,major-faults,101307537,100,0,K/sec
0.304111875,0,minor-faults,101306581,100,0,K/sec
0.304111875,0,page-faults,101305477,100,0,K/sec
0.304111875,100.225376,task-clock,101304441,100,,
0.304111875,11188,L1-dcache-load-misses,23998815,23.69,0,of all L1-dcache hits
0.304111875,229834046,L1-dcache-loads,18665095,18.43,2268.664,M/sec
0.304111875,119928772,L1-dcache-stores,8000061,7.9,1183.802,M/sec
0.304111875,1391,L1-icache-load-misses,8000249,7.9,,
0.304111875,0,LLC-load-misses,7999696,7.9,0,of all LL-cache hits
0.304111875,184,LLC-loads,12000010,11.85,0.002,M/sec
0.304111875,0,LLC-store-misses,8000321,7.9,0,K/sec
0.304111875,13,LLC-stores,7999934,7.9,0.128,K/sec
0.304111875,23770,branch-load-misses,11999368,11.85,0.235,M/sec
0.304111875,150142683,branch-loads,15999409,15.8,1482.04,M/sec
0.304111875,0,dTLB-load-misses,15999863,15.8,0,of all dTLB cache hits
0.304111875,229809443,dTLB-loads,10666771,10.53,2268.421,M/sec
0.304111875,0,dTLB-store-misses,7027255,6.94,0,K/sec
0.304111875,117901294,dTLB-stores,5696047,5.63,1163.789,M/sec
0.304111875,<not counted>,iTLB-load-misses,5334022,5.27,,
0.304111875,0,iTLB-loads,5334432,5.27,0,K/sec
0.304111875,295,node-load-misses,7999242,7.9,0.003,M/sec
0.304111875,0,node-loads,10667357,10.54,0,K/sec
0.304111875,13,node-store-misses,5334494,5.27,0.128,K/sec
0.304111875,0,node-stores,5331766,5.27,0,K/sec
0.404328528,150301056,branches,9739281,9.64,1487.616,M/sec
0.404328528,24290,branch-misses,13737224,13.59,0.02,of all branches
0.404328528,9978801,bus-cycles,14735115,14.58,98.766,M/sec
0.404328528,200,cache-misses,15734674,15.57,20.899,of all cache refs
0.404328528,551,cache-references,15999652,15.83,0.005,M/sec
0.404328528,259326643,cycles,15999007,15.83,2.567,GHz
0.404328528,745335802,instructions,19999578,19.79,2.85,insn per cycle
0.404328528,259409742,ref-cycles,23998770,23.75,2567.527,M/sec
0.404328528,0,alignment-faults,101039556,100,0,K/sec
0.404328528,0,bpf-output,101038863,100,0,K/sec
0.404328528,0,context-switches,101038070,100,0,K/sec
0.404328528,100.215371,cpu-clock,101037393,100,,
0.404328528,0,cpu-migrations,101036660,100,0,K/sec
0.404328528,0,dummy,101035913,100,0,K/sec
0.404328528,0,emulation-faults,101035104,100,0,K/sec
0.404328528,0,major-faults,101034404,100,0,K/sec
0.404328528,0,minor-faults,101033674,100,0,K/sec
0.404328528,0,page-faults,101032849,100,0,K/sec
0.404328528,100.215054,task-clock,101032095,100,,
0.404328528,11053,L1-dcache-load-misses,23999152,23.76,0,of all L1-dcache hits
0.404328528,229773247,L1-dcache-loads,19998757,19.8,2274.197,M/sec
0.404328528,120017455,L1-dcache-stores,7999843,7.92,1187.881,M/sec
0.404328528,1616,L1-icache-load-misses,8000229,7.92,,
0.404328528,0,LLC-load-misses,7999754,7.92,0,of all LL-cache hits
0.404328528,92,LLC-loads,11999968,11.88,0.911,K/sec
0.404328528,0,LLC-store-misses,8000820,7.92,0,K/sec
0.404328528,0,LLC-stores,7999936,7.92,0,K/sec
0.404328528,23793,branch-load-misses,11999498,11.88,0.235,M/sec
0.404328528,150007720,branch-loads,15323618,15.17,1484.712,M/sec
0.404328528,11,dTLB-load-misses,14324213,14.18,0,of all dTLB cache hits
