Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103658367,142504682,branches,3050910,3.04,1405.338,M/sec
0.103658367,21172,branch-misses,7039751,6.98,0.01,of all branches
0.103658367,9974630,bus-cycles,11033176,10.93,98.367,M/sec
0.103658367,5856,cache-misses,15025351,14.89,160.923,of all cache refs
0.103658367,3639,cache-references,15997542,15.86,0.036,M/sec
0.103658367,261229562,cycles,16000745,15.86,2.576,GHz
0.103658367,752191936,instructions,19997747,19.72,2.88,insn per cycle
0.103658367,262569823,ref-cycles,23997556,23.67,2589.383,M/sec
0.103658367,0,alignment-faults,101410350,100,0,K/sec
0.103658367,0,bpf-output,101408739,100,0,K/sec
0.103658367,0,context-switches,101406362,100,0,K/sec
0.103658367,101.406006,cpu-clock,101404587,100,,
0.103658367,0,cpu-migrations,101410219,100,0,K/sec
0.103658367,0,dummy,101408806,100,0,K/sec
0.103658367,0,emulation-faults,101407004,100,0,K/sec
0.103658367,0,major-faults,101405101,100,0,K/sec
0.103658367,0,minor-faults,101403208,100,0,K/sec
0.103658367,0,page-faults,101401124,100,0,K/sec
0.103658367,101.398903,task-clock,101398764,100,,
0.103658367,11813,L1-dcache-load-misses,23998364,23.68,0.01,of all L1-dcache hits
0.103658367,232013083,L1-dcache-loads,15996476,15.78,2288.042,M/sec
0.103658367,121842082,L1-dcache-stores,7996425,7.85,1201.569,M/sec
0.103658367,1719,L1-icache-load-misses,7999727,7.85,,
0.103658367,0,LLC-load-misses,8001568,7.86,0,of all LL-cache hits
0.103658367,153,LLC-loads,12001500,11.79,0.002,M/sec
0.103658367,0,LLC-store-misses,7998620,7.82,0,K/sec
0.103658367,13,LLC-stores,8000458,7.82,0.128,K/sec
0.103658367,24241,branch-load-misses,12000697,11.73,0.239,M/sec
0.103658367,153090731,branch-loads,16000744,15.64,1509.734,M/sec
0.103658367,791643,dTLB-load-misses,15999815,15.64,0.34,of all dTLB cache hits
0.103658367,234095131,dTLB-loads,7999727,7.82,2308.575,M/sec
0.103658367,0,dTLB-store-misses,8000236,7.78,0,K/sec
0.103658367,123020276,dTLB-stores,7999708,7.78,1213.188,M/sec
0.103658367,0,iTLB-load-misses,7999539,7.78,0,of all iTLB cache hits
0.103658367,0,iTLB-loads,8000902,7.78,0,K/sec
0.103658367,232,node-load-misses,11997679,11.61,0.002,M/sec
0.103658367,19,node-loads,15998881,15.49,0.187,K/sec
0.103658367,522,node-store-misses,4548694,4.4,0.005,M/sec
0.103658367,187,node-stores,551101,0.53,0.002,M/sec
0.203962182,154548782,branches,7524739,7.38,1516.821,M/sec
0.203962182,24430,branch-misses,11520797,11.31,0.02,of all branches
0.203962182,10246588,bus-cycles,13514777,13.26,100.565,M/sec
0.203962182,77,cache-misses,15511422,15.22,3.702,of all cache refs
0.203962182,521,cache-references,15999599,15.7,0.005,M/sec
0.203962182,266455818,cycles,16000510,15.7,2.615,GHz
0.203962182,759863583,instructions,19998435,19.63,2.88,insn per cycle
0.203962182,265141599,ref-cycles,23997187,23.55,2602.236,M/sec
0.203962182,0,alignment-faults,101897426,100,0,K/sec
0.203962182,0,bpf-output,101895972,100,0,K/sec
0.203962182,0,context-switches,101894699,100,0,K/sec
0.203962182,102.382236,cpu-clock,101893412,100,,
0.203962182,0,cpu-migrations,101892088,100,0,K/sec
0.203962182,0,dummy,101890930,100,0,K/sec
0.203962182,0,emulation-faults,101889837,100,0,K/sec
0.203962182,0,major-faults,101888627,100,0,K/sec
0.203962182,5,minor-faults,101887688,100,0.049,K/sec
0.203962182,5,page-faults,101886668,100,0.049,K/sec
0.203962182,102.37252,task-clock,101885646,100,,
0.203962182,11483,L1-dcache-load-misses,23999181,23.56,0,of all L1-dcache hits
0.203962182,234216950,L1-dcache-loads,15997315,15.71,2298.726,M/sec
0.203962182,121637636,L1-dcache-stores,7999579,7.85,1193.814,M/sec
0.203962182,1401,L1-icache-load-misses,7999680,7.85,,
0.203962182,0,LLC-load-misses,7999232,7.85,0,of all LL-cache hits
0.203962182,42,LLC-loads,11999322,11.78,0.412,K/sec
0.203962182,0,LLC-store-misses,7999253,7.85,0,K/sec
0.203962182,0,LLC-stores,8000036,7.86,0,K/sec
0.203962182,24048,branch-load-misses,12001561,11.79,0.236,M/sec
0.203962182,151523656,branch-loads,16000932,15.71,1487.131,M/sec
0.203962182,783531,dTLB-load-misses,16000028,15.71,0.34,of all dTLB cache hits
0.203962182,231762874,dTLB-loads,7999874,7.86,2274.64,M/sec
0.203962182,0,dTLB-store-misses,8000026,7.86,0,K/sec
0.203962182,120609156,dTLB-stores,8000137,7.86,1183.72,M/sec
0.203962182,0,iTLB-load-misses,8000029,7.86,0,of all iTLB cache hits
0.203962182,499,iTLB-loads,6422894,6.31,0.005,M/sec
0.203962182,2813,node-load-misses,8423194,8.27,0.028,M/sec
0.203962182,2315,node-loads,10425518,10.24,0.023,M/sec
0.203962182,116,node-store-misses,4001637,3.93,0.001,M/sec
0.203962182,81,node-stores,4000488,3.93,0.795,K/sec
0.304238307,149992867,branches,9016419,8.89,1479.917,M/sec
0.304238307,23747,branch-misses,13013667,12.84,0.02,of all branches
0.304238307,9985815,bus-cycles,14344031,14.15,98.526,M/sec
0.304238307,88,cache-misses,15674911,15.46,5.473,of all cache refs
0.304238307,664,cache-references,16000272,15.79,0.007,M/sec
0.304238307,259643051,cycles,16000948,15.79,2.562,GHz
0.304238307,743886382,instructions,20000282,19.73,2.83,insn per cycle
0.304238307,259693152,ref-cycles,23999231,23.68,2562.284,M/sec
0.304238307,0,alignment-faults,101357162,100,0,K/sec
0.304238307,0,bpf-output,101356315,100,0,K/sec
0.304238307,0,context-switches,101355452,100,0,K/sec
0.304238307,100.277135,cpu-clock,101354651,100,,
0.304238307,0,cpu-migrations,101353743,100,0,K/sec
0.304238307,0,dummy,101352953,100,0,K/sec
0.304238307,0,emulation-faults,101352223,100,0,K/sec
0.304238307,0,major-faults,101351387,100,0,K/sec
0.304238307,0,minor-faults,101350738,100,0,K/sec
0.304238307,0,page-faults,101349961,100,0,K/sec
0.304238307,100.276357,task-clock,101349216,100,,
0.304238307,11456,L1-dcache-load-misses,23999566,23.68,0,of all L1-dcache hits
0.304238307,229249808,L1-dcache-loads,18665453,18.42,2261.913,M/sec
