Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103046993,738199597,instructions,8338339,8.31,2.83,insn per cycle
0.103046993,149517924,branches,12333744,12.29,,
0.103046993,18280,branch-misses,16853881,16.71,0.01,of all branches
0.103046993,18328,branch-load-misses,16848219,16.71,,
0.103046993,2155,cache-misses,19514283,19.35,217.677,of all cache refs
0.103046993,990,cache-references,15996851,15.86,,
0.103046993,261089883,cycles,15998333,15.87,,
0.103046993,10094530,bus-cycles,16000780,15.79,,
0.103046993,262457673,ref-cycles,19999877,19.74,,
0.103046993,8865,L1-dcache-load-misses,19999747,19.74,0,of all L1-dcache hits
0.103046993,234020734,L1-dcache-loads,11997903,11.84,,
0.103046993,122835605,L1-dcache-stores,8000131,7.86,,
0.103046993,1527,L1-icache-load-misses,8001952,7.86,,
0.103046993,0,LLC-load-misses,7999770,7.86,0,of all LL-cache hits
0.103046993,0,LLC-store-misses,11997992,11.79,,
0.103046993,102,LLC-stores,7998801,7.86,,
0.103046993,76,LLC-loads,8000868,7.86,,
0.103046993,123356142,dTLB-stores,8000066,7.82,,
0.103046993,0,dTLB-load-misses,7999419,7.82,,
0.103046993,0,dTLB-store-misses,7999227,7.82,,
0.103046993,0,iTLB-loads,12000285,11.73,,
0.103046993,0,iTLB-load-misses,15999483,15.57,0,of all iTLB cache hits
0.103046993,0,node-load-misses,15999295,15.57,,
0.103046993,0,node-loads,15999747,15.57,,
0.103046993,0,node-store-misses,8000242,7.79,,
0.103046993,55,node-stores,7438072,7.24,,
0.203278447,769842556,instructions,9589049,9.44,2.93,insn per cycle
0.203278447,155219769,branches,13586671,13.37,,
0.203278447,18259,branch-misses,17583047,17.31,0.01,of all branches
0.203278447,18266,branch-load-misses,17761354,17.49,,
0.203278447,51,cache-misses,19757165,19.45,8.273,of all cache refs
0.203278447,243,cache-references,15999145,15.75,,
0.203278447,264882652,cycles,15999905,15.75,,
0.203278447,10137928,bus-cycles,16001331,15.76,,
0.203278447,263567120,ref-cycles,19999893,19.69,,
0.203278447,8622,L1-dcache-load-misses,19998915,19.69,0,of all L1-dcache hits
0.203278447,234953216,L1-dcache-loads,11999325,11.82,,
0.203278447,122035325,L1-dcache-stores,8000055,7.88,,
0.203278447,1241,L1-icache-load-misses,7999451,7.88,,
0.203278447,0,LLC-load-misses,7999829,7.88,0,of all LL-cache hits
0.203278447,0,LLC-store-misses,11998781,11.82,,
0.203278447,0,LLC-stores,7998457,7.88,,
0.203278447,25,LLC-loads,7999788,7.88,,
0.203278447,121495590,dTLB-stores,7999990,7.88,,
0.203278447,0,dTLB-load-misses,8000478,7.88,,
0.203278447,0,dTLB-store-misses,7999751,7.88,,
0.203278447,0,iTLB-loads,12000063,11.82,,
0.203278447,0,iTLB-load-misses,16000580,15.76,0,of all iTLB cache hits
0.203278447,0,node-load-misses,15998740,15.76,,
0.203278447,25,node-loads,16000630,15.76,,
0.203278447,105,node-store-misses,7833039,7.72,,
0.203278447,237,node-stores,5835647,5.75,,
0.303469699,748564655,instructions,9184285,9.08,2.86,insn per cycle
0.303469699,150906309,branches,13181029,13.03,,
0.303469699,18018,branch-misses,17176945,16.99,0.01,of all branches
0.303469699,17947,branch-load-misses,18508224,18.3,,
0.303469699,746,cache-misses,19837977,19.62,63.833,of all cache refs
0.303469699,2273,cache-references,15999117,15.82,,
0.303469699,259301148,cycles,15999727,15.82,,
0.303469699,9971912,bus-cycles,15999792,15.82,,
0.303469699,259339438,ref-cycles,19998925,19.78,,
0.303469699,8426,L1-dcache-load-misses,19999143,19.78,0,of all L1-dcache hits
0.303469699,231110817,L1-dcache-loads,14665997,14.51,,
0.303469699,120722729,L1-dcache-stores,8000123,7.91,,
0.303469699,1240,L1-icache-load-misses,7999612,7.91,,
0.303469699,0,LLC-load-misses,7999715,7.91,0,of all LL-cache hits
0.303469699,0,LLC-store-misses,11999126,11.87,,
0.303469699,88,LLC-stores,7999002,7.91,,
0.303469699,25,LLC-loads,8000278,7.91,,
0.303469699,120894984,dTLB-stores,8000211,7.91,,
0.303469699,0,dTLB-load-misses,7999895,7.91,,
0.303469699,0,dTLB-store-misses,7999722,7.91,,
0.303469699,0,iTLB-loads,11999971,11.87,,
0.303469699,0,iTLB-load-misses,16000224,15.83,0,of all iTLB cache hits
0.303469699,0,node-load-misses,15999220,15.83,,
0.303469699,126,node-loads,15952180,15.78,,
0.303469699,143,node-store-misses,6619975,6.55,,
0.303469699,162,node-stores,5333769,5.28,,
0.403666263,749753422,instructions,9887900,9.8,2.87,insn per cycle
0.403666263,151113328,branches,13885810,13.76,,
0.403666263,17905,branch-misses,17882604,17.73,0.01,of all branches
0.403666263,17946,branch-load-misses,18880801,18.72,,
0.403666263,60,cache-misses,19878023,19.7,6.173,of all cache refs
0.403666263,382,cache-references,15998793,15.86,,
0.403666263,259370117,cycles,15999454,15.86,,
0.403666263,9977396,bus-cycles,15999713,15.86,,
0.403666263,259452575,ref-cycles,19999044,19.83,,
0.403666263,8526,L1-dcache-load-misses,19999669,19.83,0,of all L1-dcache hits
0.403666263,231269755,L1-dcache-loads,16000207,15.86,,
0.403666263,120696309,L1-dcache-stores,7999686,7.93,,
0.403666263,1992,L1-icache-load-misses,7999095,7.93,,
0.403666263,150,LLC-load-misses,7999764,7.93,431.65,of all LL-cache hits
0.403666263,8,LLC-store-misses,11999300,11.9,,
0.403666263,13,LLC-stores,7999314,7.93,,
0.403666263,13,LLC-loads,8000196,7.93,,
0.403666263,120877002,dTLB-stores,8000052,7.93,,
0.403666263,0,dTLB-load-misses,7999997,7.93,,
0.403666263,0,dTLB-store-misses,7999770,7.93,,
0.403666263,0,iTLB-loads,11999957,11.9,,
0.403666263,0,iTLB-load-misses,16000903,15.87,0,of all iTLB cache hits
0.403666263,56,node-load-misses,15999456,15.87,,
0.403666263,8,node-loads,15013767,14.89,,
0.403666263,119,node-store-misses,6014369,5.96,,
0.403666263,0,node-stores,6000287,5.95,,
0.503858181,749066184,instructions,10309725,10.23,2.87,insn per cycle
0.503858181,151081257,branches,14308277,14.2,,
0.503858181,17905,branch-misses,18305800,18.17,0.01,of all branches
0.503858181,17915,branch-load-misses,19104496,18.96,,
0.503858181,40,cache-misses,19902444,19.76,5.039,of all cache refs
0.503858181,81,cache-references,15999076,15.88,,
0.503858181,259284356,cycles,15999255,15.88,,
0.503858181,9974385,bus-cycles,15999806,15.88,,
0.503858181,259393032,ref-cycles,19999428,19.85,,
0.503858181,8406,L1-dcache-load-misses,19999626,19.85,0,of all L1-dcache hits
0.503858181,231417510,L1-dcache-loads,16799898,16.68,,
0.503858181,120846831,L1-dcache-stores,7999728,7.94,,
0.503858181,1340,L1-icache-load-misses,7999421,7.94,,
0.503858181,100,LLC-load-misses,7999924,7.94,328.95,of all LL-cache hits
0.503858181,50,LLC-store-misses,11999740,11.91,,
0.503858181,0,LLC-stores,7999300,7.94,,
0.503858181,13,LLC-loads,7999877,7.94,,
0.503858181,120669423,dTLB-stores,8000042,7.94,,
0.503858181,0,dTLB-load-misses,7999956,7.94,,
0.503858181,0,dTLB-store-misses,7999887,7.94,,
0.503858181,0,iTLB-loads,11999948,11.91,,
