Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103059656,737965723,instructions,8328052,8.3,2.83,insn per cycle
0.103059656,149620454,branches,12323092,12.28,,
0.103059656,18166,branch-misses,16848521,16.71,0.01,of all branches
0.103059656,18180,branch-load-misses,16845873,16.7,,
0.103059656,1920,cache-misses,19489262,19.33,287.425,of all cache refs
0.103059656,668,cache-references,15998696,15.87,,
0.103059656,261078545,cycles,15999548,15.87,,
0.103059656,10093060,bus-cycles,15999164,15.79,,
0.103059656,262396415,ref-cycles,20000947,19.74,,
0.103059656,8927,L1-dcache-load-misses,19999074,19.74,0,of all L1-dcache hits
0.103059656,233893073,L1-dcache-loads,12001401,11.85,,
0.103059656,122599269,L1-dcache-stores,7999992,7.86,,
0.103059656,1375,L1-icache-load-misses,7999307,7.86,,
0.103059656,0,LLC-load-misses,8001803,7.86,0,of all LL-cache hits
0.103059656,0,LLC-store-misses,12001573,11.79,,
0.103059656,13,LLC-stores,7999856,7.86,,
0.103059656,76,LLC-loads,8000015,7.86,,
0.103059656,123596494,dTLB-stores,7998830,7.82,,
0.103059656,0,dTLB-load-misses,7999820,7.82,,
0.103059656,0,dTLB-store-misses,7999448,7.82,,
0.103059656,0,iTLB-loads,11999130,11.73,,
0.103059656,0,iTLB-load-misses,16001246,15.57,0,of all iTLB cache hits
0.103059656,39,node-load-misses,15998398,15.56,,
0.103059656,0,node-loads,15999525,15.57,,
0.103059656,0,node-store-misses,7999592,7.78,,
0.103059656,55,node-stores,7477564,7.28,,
0.203287687,770953327,instructions,9592749,9.44,2.93,insn per cycle
0.203287687,155358680,branches,13590000,13.38,,
0.203287687,18208,branch-misses,17587493,17.31,0.01,of all branches
0.203287687,18207,branch-load-misses,17749338,17.47,,
0.203287687,92,cache-misses,19744302,19.44,19.389,of all cache refs
0.203287687,281,cache-references,15999090,15.75,,
0.203287687,264869810,cycles,16000300,15.75,,
0.203287687,10136248,bus-cycles,15999314,15.75,,
0.203287687,263558692,ref-cycles,20001352,19.69,,
0.203287687,8750,L1-dcache-load-misses,19998877,19.69,0,of all L1-dcache hits
0.203287687,235047671,L1-dcache-loads,12000718,11.82,,
0.203287687,121964518,L1-dcache-stores,8000102,7.88,,
0.203287687,4315,L1-icache-load-misses,8001250,7.88,,
0.203287687,38,LLC-load-misses,8000699,7.88,50,of all LL-cache hits
0.203287687,59,LLC-store-misses,12000704,11.82,,
0.203287687,392,LLC-stores,7999729,7.88,,
0.203287687,76,LLC-loads,7999775,7.88,,
0.203287687,121774743,dTLB-stores,7999678,7.88,,
0.203287687,0,dTLB-load-misses,7999838,7.88,,
0.203287687,0,dTLB-store-misses,8000079,7.88,,
0.203287687,0,iTLB-loads,12000533,11.82,,
0.203287687,0,iTLB-load-misses,16000471,15.76,0,of all iTLB cache hits
0.203287687,75,node-load-misses,15999002,15.76,,
0.203287687,6,node-loads,15999840,15.76,,
0.203287687,104,node-store-misses,7851117,7.74,,
0.203287687,237,node-stores,5853156,5.77,,
0.303520837,748269206,instructions,9174457,9.07,2.86,insn per cycle
0.303520837,150942609,branches,13170951,13.02,,
0.303520837,17888,branch-misses,17168512,16.98,0.01,of all branches
0.303520837,17824,branch-load-misses,18499232,18.29,,
0.303520837,15,cache-misses,19829471,19.61,3.772,of all cache refs
0.303520837,244,cache-references,15999726,15.82,,
0.303520837,259341357,cycles,15999637,15.82,,
0.303520837,9976113,bus-cycles,15999462,15.82,,
0.303520837,259397116,ref-cycles,20000697,19.78,,
0.303520837,8803,L1-dcache-load-misses,19999714,19.78,0,of all L1-dcache hits
0.303520837,231182558,L1-dcache-loads,14666659,14.51,,
0.303520837,121049672,L1-dcache-stores,7999503,7.91,,
0.303520837,1102,L1-icache-load-misses,8001305,7.91,,
0.303520837,0,LLC-load-misses,8000430,7.91,0,of all LL-cache hits
0.303520837,42,LLC-store-misses,12001280,11.87,,
0.303520837,63,LLC-stores,7999929,7.91,,
0.303520837,63,LLC-loads,7998978,7.91,,
0.303520837,120943315,dTLB-stores,8000245,7.91,,
0.303520837,0,dTLB-load-misses,7999943,7.91,,
0.303520837,0,dTLB-store-misses,7999502,7.91,,
0.303520837,0,iTLB-loads,11999682,11.87,,
0.303520837,0,iTLB-load-misses,15999732,15.83,0,of all iTLB cache hits
0.303520837,0,node-load-misses,15999175,15.83,,
0.303520837,0,node-loads,15976893,15.81,,
0.303520837,189,node-store-misses,6645549,6.57,,
0.303520837,140,node-stores,5333307,5.28,,
0.403860879,750756109,instructions,9880741,9.79,2.87,insn per cycle
0.403860879,151281563,branches,13877796,13.75,,
0.403860879,17802,branch-misses,17875857,17.71,0.01,of all branches
0.403860879,17773,branch-load-misses,18873574,18.7,,
0.403860879,0,cache-misses,19872131,19.69,0,of all cache refs
0.403860879,82,cache-references,15999666,15.85,,
0.403860879,259600156,cycles,15999708,15.85,,
0.403860879,9985112,bus-cycles,15999624,15.85,,
0.403860879,259662338,ref-cycles,20000452,19.82,,
0.403860879,8419,L1-dcache-load-misses,19999654,19.82,0,of all L1-dcache hits
0.403860879,231675598,L1-dcache-loads,16000018,15.85,,
0.403860879,120865201,L1-dcache-stores,7999590,7.93,,
0.403860879,1016,L1-icache-load-misses,8000883,7.93,,
0.403860879,0,LLC-load-misses,8000387,7.93,0,of all LL-cache hits
0.403860879,0,LLC-store-misses,12000935,11.89,,
0.403860879,13,LLC-stores,7999841,7.93,,
0.403860879,25,LLC-loads,7999289,7.93,,
0.403860879,120861876,dTLB-stores,8000161,7.93,,
0.403860879,0,dTLB-load-misses,7999949,7.93,,
0.403860879,0,dTLB-store-misses,7999787,7.93,,
0.403860879,0,iTLB-loads,11999719,11.89,,
0.403860879,0,iTLB-load-misses,15999758,15.86,0,of all iTLB cache hits
0.403860879,0,node-load-misses,15999323,15.86,,
0.403860879,0,node-loads,15068083,14.93,,
0.403860879,139,node-store-misses,6069972,6.02,,
0.403860879,50,node-stores,5999498,5.95,,
0.504145217,748482728,instructions,10304346,10.22,2.87,insn per cycle
0.504145217,151074508,branches,14301980,14.19,,
0.504145217,17790,branch-misses,18300479,18.15,0.01,of all branches
0.504145217,17769,branch-load-misses,19098811,18.95,,
0.504145217,0,cache-misses,19897985,19.74,0,of all cache refs
0.504145217,13,cache-references,15999759,15.87,,
0.504145217,259509664,cycles,15999678,15.87,,
0.504145217,9982172,bus-cycles,15999671,15.87,,
0.504145217,259608428,ref-cycles,20000967,19.84,,
0.504145217,9474,L1-dcache-load-misses,19999292,19.84,0,of all L1-dcache hits
0.504145217,231312640,L1-dcache-loads,16799907,16.67,,
0.504145217,121182140,L1-dcache-stores,7999734,7.94,,
0.504145217,1266,L1-icache-load-misses,8000675,7.94,,
0.504145217,0,LLC-load-misses,8000228,7.94,0,of all LL-cache hits
0.504145217,0,LLC-store-misses,12000768,11.91,,
0.504145217,0,LLC-stores,7999830,7.94,,
0.504145217,13,LLC-loads,7999275,7.94,,
0.504145217,120857708,dTLB-stores,8000345,7.94,,
0.504145217,0,dTLB-load-misses,8000014,7.94,,
0.504145217,0,dTLB-store-misses,7999578,7.94,,
0.504145217,0,iTLB-loads,11999905,11.91,,
0.504145217,0,iTLB-load-misses,15999530,15.88,0,of all iTLB cache hits
0.504145217,64,node-load-misses,15310949,15.19,,
0.504145217,8,node-loads,14512509,14.4,,
0.504145217,26,node-store-misses,6400660,6.35,,
0.504145217,0,node-stores,6399428,6.35,,
0.604380461,748933552,instructions,10586892,10.51,2.87,insn per cycle
0.604380461,151059111,branches,14584846,14.48,,
0.604380461,17728,branch-misses,18583573,18.45,0.01,of all branches
0.604380461,17754,branch-load-misses,19248755,19.11,,
0.604380461,5,cache-misses,19914825,19.78,2.221,of all cache refs
0.604380461,63,cache-references,15999769,15.89,,
0.604380461,259331316,cycles,15999772,15.89,,
0.604380461,9972373,bus-cycles,15999637,15.89,,
0.604380461,259365610,ref-cycles,20000711,19.86,,
0.604380461,8559,L1-dcache-load-misses,19999419,19.86,0,of all L1-dcache hits
0.604380461,231337212,L1-dcache-loads,17333214,17.21,,
0.604380461,121081762,L1-dcache-stores,7999709,7.94,,
0.604380461,1152,L1-icache-load-misses,8000608,7.95,,
0.604380461,0,LLC-load-misses,8000179,7.95,0,of all LL-cache hits
0.604380461,0,LLC-store-misses,12000615,11.92,,
0.604380461,0,LLC-stores,7999890,7.94,,
0.604380461,88,LLC-loads,7999391,7.94,,
0.604380461,120904114,dTLB-stores,8000271,7.95,,
0.604380461,0,dTLB-load-misses,8000056,7.95,,
0.604380461,0,dTLB-store-misses,7999787,7.95,,
0.604380461,0,iTLB-loads,11999855,11.92,,
