Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103082126,738416620,instructions,8369950,8.34,2.83,insn per cycle
0.103082126,149638577,branches,12368501,12.32,1475.647,M/sec
0.103082126,24502,branch-misses,16890490,16.74,0.02,of all branches
0.103082126,24624,branch-load-misses,16888171,16.74,0.243,M/sec
0.103082126,4264,cache-misses,19257615,19.09,195.507,of all cache refs
0.103082126,2181,cache-references,15999677,15.86,0.022,M/sec
0.103082126,261215934,cycles,16000035,15.86,2.576,GHz
0.103082126,0,context-switches,101404561,100,0,K/sec
0.103082126,101.403525,cpu-clock,101403290,100,,
0.103082126,0,minor-faults,101407869,100,0,K/sec
0.103082126,0,page-faults,101407734,100,0,K/sec
0.103082126,101.407311,task-clock,101407159,100,,
0.103082126,10097717,bus-cycles,15998664,15.78,99.578,M/sec
0.103082126,262537977,ref-cycles,19998144,19.73,2588.994,M/sec
0.103082126,10733,L1-dcache-load-misses,19999882,19.73,0,of all L1-dcache hits
0.103082126,233711190,L1-dcache-loads,11999897,11.84,2304.721,M/sec
0.103082126,122975887,L1-dcache-stores,7998956,7.85,1212.715,M/sec
0.103082126,1375,L1-icache-load-misses,7999870,7.86,,
0.103082126,165,LLC-load-misses,8000121,7.86,61.8,of all LL-cache hits
0.103082126,110,LLC-store-misses,11999920,11.78,0.001,M/sec
0.103082126,102,LLC-stores,8000543,7.86,0.001,M/sec
0.103082126,267,LLC-loads,8000165,7.86,0.003,M/sec
0.103082126,123430737,dTLB-stores,7999421,7.82,1217.201,M/sec
0.103082126,0,dTLB-load-misses,8000634,7.82,,
0.103082126,0,dTLB-store-misses,7999666,7.82,0,K/sec
0.103082126,0,iTLB-loads,11999886,11.73,0,K/sec
0.103082126,0,iTLB-load-misses,16000023,15.57,0,of all iTLB cache hits
0.103082126,103,node-load-misses,15999070,15.57,0.001,M/sec
0.103082126,13,node-loads,16000220,15.57,0.128,K/sec
0.103082126,0,node-store-misses,8000427,7.78,0,K/sec
0.103082126,186,node-stores,7729522,7.52,0.002,M/sec
0.203468334,769993474,instructions,9642330,9.49,2.93,insn per cycle
0.203468334,155272226,branches,13660579,13.44,1527.378,M/sec
0.203468334,23762,branch-misses,17658720,17.37,0.02,of all branches
0.203468334,23775,branch-load-misses,17656963,17.37,0.234,M/sec
0.203468334,389,cache-misses,19628789,19.31,27.766,of all cache refs
0.203468334,621,cache-references,15999145,15.74,0.006,M/sec
0.203468334,265274749,cycles,15999997,15.74,2.609,GHz
0.203468334,0,context-switches,101660412,100,0,K/sec
0.203468334,101.916251,cpu-clock,101659766,100,,
0.203468334,0,minor-faults,101659780,100,0,K/sec
0.203468334,0,page-faults,101659421,100,0,K/sec
0.203468334,101.910369,task-clock,101658772,100,,
0.203468334,10152503,bus-cycles,15999669,15.74,99.868,M/sec
0.203468334,263980846,ref-cycles,19999093,19.68,2596.719,M/sec
0.203468334,10543,L1-dcache-load-misses,19999546,19.68,0,of all L1-dcache hits
0.203468334,234919058,L1-dcache-loads,11999467,11.81,2310.845,M/sec
0.203468334,122068870,L1-dcache-stores,7999583,7.87,1200.764,M/sec
0.203468334,1470,L1-icache-load-misses,8000087,7.87,,
0.203468334,152,LLC-load-misses,7999965,7.87,34.23,of all LL-cache hits
0.203468334,186,LLC-store-misses,11999732,11.81,0.002,M/sec
0.203468334,203,LLC-stores,8000201,7.87,0.002,M/sec
0.203468334,621,LLC-loads,8000709,7.87,0.006,M/sec
0.203468334,121829006,dTLB-stores,7999588,7.87,1198.404,M/sec
0.203468334,0,dTLB-load-misses,7999661,7.87,,
0.203468334,0,dTLB-store-misses,8000219,7.87,0,K/sec
0.203468334,0,iTLB-loads,11999990,11.81,0,K/sec
0.203468334,0,iTLB-load-misses,16000081,15.75,0,of all iTLB cache hits
0.203468334,314,node-load-misses,15999577,15.75,0.003,M/sec
0.203468334,13,node-loads,15999299,15.75,0.128,K/sec
0.203468334,75,node-store-misses,8000060,7.88,0.738,K/sec
0.203468334,503,node-stores,6058551,5.96,0.005,M/sec
0.303802778,748395728,instructions,9216971,9.11,2.86,insn per cycle
0.303802778,151179560,branches,13216821,13.06,1493.637,M/sec
0.303802778,23298,branch-misses,17215676,17.01,0.02,of all branches
0.303802778,23247,branch-load-misses,18421887,18.2,0.23,M/sec
0.303802778,356,cache-misses,19751933,19.52,30.419,of all cache refs
0.303802778,709,cache-references,15999444,15.81,0.007,M/sec
0.303802778,259825715,cycles,15999492,15.81,2.567,GHz
0.303802778,0,context-switches,101216207,100,0,K/sec
0.303802778,100.328146,cpu-clock,101215856,100,,
0.303802778,0,minor-faults,101215799,100,0,K/sec
0.303802778,0,page-faults,101215607,100,0,K/sec
0.303802778,100.328775,task-clock,101215352,100,,
0.303802778,9993945,bus-cycles,15999771,15.81,98.739,M/sec
0.303802778,259869864,ref-cycles,19999600,19.76,2567.485,M/sec
0.303802778,10415,L1-dcache-load-misses,19999323,19.76,0,of all L1-dcache hits
0.303802778,231878447,L1-dcache-loads,14666073,14.49,2290.933,M/sec
0.303802778,121026978,L1-dcache-stores,7999743,7.91,1195.733,M/sec
0.303802778,1593,L1-icache-load-misses,8000186,7.91,,
0.303802778,1104,LLC-load-misses,8000284,7.91,138.4,of all LL-cache hits
0.303802778,142,LLC-store-misses,12000382,11.86,0.001,M/sec
0.303802778,439,LLC-stores,7999869,7.91,0.004,M/sec
0.303802778,1505,LLC-loads,8000070,7.91,0.015,M/sec
0.303802778,120688814,dTLB-stores,8000032,7.91,1192.392,M/sec
0.303802778,0,dTLB-load-misses,7999984,7.91,,
0.303802778,0,dTLB-store-misses,7999881,7.91,0,K/sec
0.303802778,0,iTLB-loads,11999776,11.86,0,K/sec
0.303802778,31,iTLB-load-misses,15999735,15.81,0,of all iTLB cache hits
0.303802778,219,node-load-misses,15999571,15.82,0.002,M/sec
0.303802778,771,node-loads,15999632,15.82,0.008,M/sec
0.303802778,474,node-store-misses,6815153,6.74,0.005,M/sec
0.303802778,417,node-stores,5484203,5.42,0.004,M/sec
0.404068083,749749115,instructions,9822716,9.73,2.87,insn per cycle
0.404068083,151035301,branches,13820816,13.69,1495.653,M/sec
0.404068083,23373,branch-misses,17818537,17.64,0.02,of all branches
0.404068083,23290,branch-load-misses,18816134,18.63,0.231,M/sec
0.404068083,1103,cache-misses,19813158,19.62,84.586,of all cache refs
0.404068083,1705,cache-references,15999330,15.84,0.017,M/sec
0.404068083,259543098,cycles,15999960,15.85,2.57,GHz
0.404068083,0,context-switches,100984373,100,0,K/sec
0.404068083,100.287045,cpu-clock,100983652,100,,
0.404068083,0,minor-faults,100983073,100,0,K/sec
0.404068083,0,page-faults,100982532,100,0,K/sec
0.404068083,100.281536,task-clock,100981939,100,,
0.404068083,9982670,bus-cycles,16000233,15.85,98.855,M/sec
0.404068083,259587055,ref-cycles,19999844,19.81,2570.605,M/sec
0.404068083,11029,L1-dcache-load-misses,20000069,19.81,0,of all L1-dcache hits
0.404068083,230899357,L1-dcache-loads,15999513,15.85,2286.52,M/sec
0.404068083,120505008,L1-dcache-stores,7999620,7.92,1193.321,M/sec
0.404068083,2469,L1-icache-load-misses,8000215,7.92,,
0.404068083,1053,LLC-load-misses,8000002,7.92,117.13,of all LL-cache hits
0.404068083,209,LLC-store-misses,12000043,11.89,0.002,M/sec
0.404068083,338,LLC-stores,8000079,7.92,0.003,M/sec
0.404068083,1203,LLC-loads,8000015,7.92,0.012,M/sec
0.404068083,120757186,dTLB-stores,7999906,7.92,1195.819,M/sec
0.404068083,0,dTLB-load-misses,8000441,7.93,,
0.404068083,0,dTLB-store-misses,7999596,7.92,0,K/sec
0.404068083,0,iTLB-loads,11999595,11.89,0,K/sec
0.404068083,6,iTLB-load-misses,15999567,15.85,0,of all iTLB cache hits
0.404068083,132,node-load-misses,15999418,15.85,0.001,M/sec
0.404068083,536,node-loads,15177775,15.04,0.005,M/sec
0.404068083,446,node-store-misses,6178719,6.12,0.004,M/sec
0.404068083,239,node-stores,6001194,5.95,0.002,M/sec
0.504315616,746555275,instructions,10258324,10.17,2.86,insn per cycle
0.504315616,150524922,branches,14256682,14.14,1492.774,M/sec
0.504315616,23138,branch-misses,18254708,18.1,0.02,of all branches
0.504315616,23138,branch-load-misses,19052817,18.89,0.229,M/sec
0.504315616,1920,cache-misses,19850427,19.69,133.649,of all cache refs
0.504315616,1967,cache-references,15999720,15.87,0.02,M/sec
0.504315616,259433197,cycles,15999887,15.87,2.573,GHz
0.504315616,0,context-switches,100836866,100,0,K/sec
0.504315616,100.246953,cpu-clock,100836313,100,,
0.504315616,0,minor-faults,100835843,100,0,K/sec
0.504315616,0,page-faults,100835374,100,0,K/sec
0.504315616,100.247211,task-clock,100834994,100,,
0.504315616,9979398,bus-cycles,16000291,15.87,98.967,M/sec
0.504315616,259502376,ref-cycles,19999838,19.84,2573.517,M/sec
0.504315616,10700,L1-dcache-load-misses,20000679,19.84,0,of all L1-dcache hits
0.504315616,230886738,L1-dcache-loads,16799342,16.66,2289.732,M/sec
0.504315616,120683609,L1-dcache-stores,7999276,7.93,1196.834,M/sec
0.504315616,1792,L1-icache-load-misses,7999824,7.93,,
