Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.10284363,737973947,instructions,8264210,8.24,2.83,insn per cycle
0.10284363,149705949,branches,12259036,12.23,1478.623,M/sec
0.10284363,18869,branch-misses,16755488,16.63,0.01,of all branches
0.10284363,18865,branch-load-misses,16747756,16.62,0.186,M/sec
0.10284363,709,cache-misses,19319999,19.18,66.262,of all cache refs
0.10284363,1070,cache-references,16001547,15.88,0.011,M/sec
0.10284363,260906979,cycles,15998467,15.88,2.577,GHz
0.10284363,0,context-switches,101247904,100,0,K/sec
0.10284363,101.246879,cpu-clock,101246926,100,,
0.10284363,0,minor-faults,101249120,100,0,K/sec
0.10284363,0,page-faults,101247940,100,0,K/sec
0.10284363,101.246868,task-clock,101246735,100,,
0.10284363,10083565,bus-cycles,15998010,15.81,99.594,M/sec
0.10284363,262170386,ref-cycles,19997722,19.76,2589.417,M/sec
0.10284363,10830,L1-dcache-load-misses,19996756,19.76,0,of all L1-dcache hits
0.10284363,233799806,L1-dcache-loads,11998116,11.86,2309.205,M/sec
0.10284363,122799100,L1-dcache-stores,8000694,7.87,1212.868,M/sec
0.10284363,1677,L1-icache-load-misses,8001718,7.87,,
0.10284363,13,LLC-load-misses,7998923,7.87,25.49,of all LL-cache hits
0.10284363,8,LLC-store-misses,11999867,11.8,0.079,K/sec
0.10284363,0,LLC-stores,8000433,7.87,0,K/sec
0.10284363,51,LLC-loads,7998307,7.87,0.504,K/sec
0.10284363,123181437,dTLB-stores,7999405,7.83,1216.644,M/sec
0.10284363,0,dTLB-load-misses,8000515,7.83,,
0.10284363,0,dTLB-store-misses,7999319,7.83,0,K/sec
0.10284363,0,iTLB-loads,11999394,11.75,0,K/sec
0.10284363,0,iTLB-load-misses,16001148,15.59,0,of all iTLB cache hits
0.10284363,38,node-load-misses,15999850,15.59,0.375,K/sec
0.10284363,6,node-loads,16000194,15.59,0.059,K/sec
0.10284363,13,node-store-misses,8002333,7.8,0.128,K/sec
0.10284363,55,node-stores,7454074,7.27,0.543,K/sec
0.203056828,768868012,instructions,9487876,9.35,2.93,insn per cycle
0.203056828,154953490,branches,13484387,13.29,1526.913,M/sec
0.203056828,18398,branch-misses,17486161,17.23,0.01,of all branches
0.203056828,18362,branch-load-misses,17661672,17.4,0.181,M/sec
0.203056828,148,cache-misses,19660452,19.37,19.346,of all cache refs
0.203056828,460,cache-references,16000377,15.77,0.005,M/sec
0.203056828,264751364,cycles,15997121,15.77,2.609,GHz
0.203056828,0,context-switches,101483186,100,0,K/sec
0.203056828,101.718021,cpu-clock,101482526,100,,
0.203056828,0,minor-faults,101481835,100,0,K/sec
0.203056828,0,page-faults,101481228,100,0,K/sec
0.203056828,101.714313,task-clock,101480567,100,,
0.203056828,10133994,bus-cycles,15998655,15.77,99.86,M/sec
0.203056828,263497563,ref-cycles,19998641,19.71,2596.508,M/sec
0.203056828,10380,L1-dcache-load-misses,19997928,19.71,0,of all L1-dcache hits
0.203056828,234922119,L1-dcache-loads,11999520,11.83,2314.925,M/sec
0.203056828,122248759,L1-dcache-stores,7999951,7.89,1204.641,M/sec
0.203056828,1632,L1-icache-load-misses,8001292,7.89,,
0.203056828,0,LLC-load-misses,7999802,7.89,0,of all LL-cache hits
0.203056828,0,LLC-store-misses,12000739,11.83,0,K/sec
0.203056828,430,LLC-stores,7999726,7.89,0.004,M/sec
0.203056828,911,LLC-loads,7998429,7.89,0.009,M/sec
0.203056828,121394391,dTLB-stores,7999697,7.89,1196.222,M/sec
0.203056828,0,dTLB-load-misses,7999722,7.89,,
0.203056828,0,dTLB-store-misses,7999521,7.89,0,K/sec
0.203056828,0,iTLB-loads,12000247,11.83,0,K/sec
0.203056828,0,iTLB-load-misses,16000249,15.78,0,of all iTLB cache hits
0.203056828,0,node-load-misses,16000260,15.78,0,K/sec
0.203056828,0,node-loads,15999844,15.78,0,K/sec
0.203056828,0,node-store-misses,7833747,7.72,0,K/sec
0.203056828,0,node-stores,5834133,5.75,0,K/sec
0.303236106,749365572,instructions,9114799,9.02,2.86,insn per cycle
0.303236106,151210561,branches,13112139,12.98,1496.436,M/sec
0.303236106,17900,branch-misses,17112185,16.93,0.01,of all branches
0.303236106,17787,branch-load-misses,18440919,18.25,0.176,M/sec
0.303236106,10,cache-misses,19773596,19.57,1.709,of all cache refs
0.303236106,225,cache-references,15999731,15.83,0.002,M/sec
0.303236106,259474497,cycles,15997907,15.83,2.568,GHz
0.303236106,0,context-switches,101048189,100,0,K/sec
0.303236106,100.178319,cpu-clock,101047790,100,,
0.303236106,0,minor-faults,101047327,100,0,K/sec
0.303236106,0,page-faults,101046904,100,0,K/sec
0.303236106,100.178289,task-clock,101046475,100,,
0.303236106,9978538,bus-cycles,15999352,15.84,98.751,M/sec
0.303236106,259472039,ref-cycles,19999651,19.8,2567.832,M/sec
0.303236106,10389,L1-dcache-load-misses,19998404,19.79,0,of all L1-dcache hits
0.303236106,231539869,L1-dcache-loads,14666752,14.52,2291.405,M/sec
0.303236106,120964433,L1-dcache-stores,8000213,7.92,1197.109,M/sec
0.303236106,1177,L1-icache-load-misses,8001696,7.92,,
0.303236106,100,LLC-load-misses,8000159,7.92,24.75,of all LL-cache hits
0.303236106,42,LLC-store-misses,12000755,11.88,0.416,K/sec
0.303236106,88,LLC-stores,7999313,7.92,0.871,K/sec
0.303236106,250,LLC-loads,7998749,7.92,0.002,M/sec
0.303236106,121001388,dTLB-stores,8000691,7.92,1197.475,M/sec
0.303236106,0,dTLB-load-misses,8000097,7.92,,
0.303236106,0,dTLB-store-misses,7998949,7.92,0,K/sec
0.303236106,0,iTLB-loads,11999804,11.88,0,K/sec
0.303236106,0,iTLB-load-misses,15999206,15.84,0,of all iTLB cache hits
0.303236106,50,node-load-misses,16000450,15.84,0.495,K/sec
0.303236106,354,node-loads,15947720,15.79,0.004,M/sec
0.303236106,0,node-store-misses,6615064,6.55,0,K/sec
0.303236106,0,node-stores,5333526,5.28,0,K/sec
0.403429664,750729517,instructions,9836289,9.76,2.87,insn per cycle
0.403429664,151310746,branches,13833836,13.72,1500.602,M/sec
0.403429664,17873,branch-misses,17833863,17.69,0.01,of all branches
0.403429664,17861,branch-load-misses,18830708,18.68,0.177,M/sec
0.403429664,0,cache-misses,19830137,19.67,0,of all cache refs
0.403429664,50,cache-references,15999742,15.87,0.496,K/sec
0.403429664,259470142,cycles,15998465,15.87,2.573,GHz
