Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.102915257,739287053,instructions,8263251,8.24,2.83,insn per cycle
0.102915257,149752366,branches,12261364,12.23,1478.325,M/sec
0.102915257,18870,branch-misses,16792375,16.66,0.01,of all branches
0.102915257,18879,branch-load-misses,16783723,16.65,0.186,M/sec
0.102915257,318,cache-misses,19349434,19.2,41.352,of all cache refs
0.102915257,769,cache-references,15997397,15.87,0.008,M/sec
0.102915257,260998171,cycles,15996939,15.88,2.577,GHz
0.102915257,0,context-switches,101300361,100,0,K/sec
0.102915257,101.298927,cpu-clock,101299092,100,,
0.102915257,0,minor-faults,101300930,100,0,K/sec
0.102915257,0,page-faults,101299703,100,0,K/sec
0.102915257,101.298409,task-clock,101298345,100,,
0.102915257,10087608,bus-cycles,16003150,15.8,99.583,M/sec
0.102915257,262279806,ref-cycles,20001250,19.75,2589.173,M/sec
0.102915257,10043,L1-dcache-load-misses,20000845,19.75,0,of all L1-dcache hits
0.102915257,234002403,L1-dcache-loads,11998745,11.85,2310.024,M/sec
0.102915257,123044135,L1-dcache-stores,7998328,7.86,1214.667,M/sec
0.102915257,1221,L1-icache-load-misses,7997616,7.86,,
0.102915257,38,LLC-load-misses,8000336,7.86,9.34,of all LL-cache hits
0.102915257,0,LLC-store-misses,12000312,11.8,0,K/sec
0.102915257,254,LLC-stores,8000275,7.86,0.003,M/sec
0.102915257,407,LLC-loads,7999781,7.86,0.004,M/sec
0.102915257,123436940,dTLB-stores,7999499,7.83,1218.545,M/sec
0.102915257,0,dTLB-load-misses,8000058,7.83,,
0.102915257,0,dTLB-store-misses,7999548,7.83,0,K/sec
0.102915257,0,iTLB-loads,12001159,11.74,0,K/sec
0.102915257,0,iTLB-load-misses,16000854,15.58,0,of all iTLB cache hits
0.102915257,39,node-load-misses,16002139,15.58,0.385,K/sec
0.102915257,6,node-loads,16000125,15.58,0.059,K/sec
0.102915257,0,node-store-misses,7999100,7.79,0,K/sec
0.102915257,27,node-stores,7491530,7.3,0.267,K/sec
0.203133588,769729362,instructions,9524653,9.38,2.93,insn per cycle
0.203133588,155164275,branches,13523151,13.32,1528.426,M/sec
0.203133588,18326,branch-misses,17521494,17.26,0.01,of all branches
0.203133588,18378,branch-load-misses,17677795,17.41,0.181,M/sec
0.203133588,240,cache-misses,19675879,19.38,26.144,of all cache refs
0.203133588,1067,cache-references,15999361,15.76,0.011,M/sec
